Field=Description~String~Description~210|Field=Designator~String~Designator~508|Field=Manufacturer P/N~String~Manufacturer P/N~48|Field=Manufacturer Part Number~String~Manufacturer Part Number~38|Field=mfg P/N~String~mfg P/N~20|Field=P/N~String~P/N~20|Field=Package / Case~String~Package / Case~20|Field=Quantity~Integer~Quantity~20|Field=Supplier 1 Part Number~String~Supplier 1 Part Number~20|Field=Detailed Description~String~Detailed Description~20|Field=Manufacturer 1~String~Manufacturer 1~100|Field=Manufacturer 13~String~Manufacturer 13~100|Field=Manufacturer 14~String~Manufacturer 14~100|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~100|Field=Manufacturer Part Number 13~String~Manufacturer Part Number 13~100|Field=Manufacturer Part Number 14~String~Manufacturer Part Number 14~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier 13~String~Supplier 13~100|Field=Supplier 14~String~Supplier 14~100|Field=Supplier Currency 1~String~Supplier Currency 1~100|Field=Supplier Currency 13~String~Supplier Currency 13~100|Field=Supplier Currency 14~String~Supplier Currency 14~100|Field=Supplier Order Qty 1~Integer~Supplier Order Qty 1~100|Field=Supplier Order Qty 13~Integer~Supplier Order Qty 13~100|Field=Supplier Order Qty 14~Integer~Supplier Order Qty 14~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|Field=Supplier Part Number 13~String~Supplier Part Number 13~100|Field=Supplier Part Number 14~String~Supplier Part Number 14~100|Field=Supplier Stock 1~Integer~Supplier Stock 1~100|Field=Supplier Stock 13~Integer~Supplier Stock 13~100|Field=Supplier Stock 14~Integer~Supplier Stock 14~100|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~100|Field=Supplier Subtotal 13~Float~Supplier Subtotal 13~100|Field=Supplier Subtotal 14~Float~Supplier Subtotal 14~100|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~100|Field=Supplier Unit Price 13~Float~Supplier Unit Price 13~100|Field=Supplier Unit Price 14~Float~Supplier Unit Price 14~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~100|ReportField=ProjectFileName~ELoad Control Assembly Gen 2 Rev 2.PrjPcb|ReportField=ProjectFullPath~C:\Users\shawn\OneDrive\Shawn\electronic load\Cicuit Studio\Rev 2\Control Board\ELoad Control Assembly Gen 2 Rev 2.PrjPcb|ReportField=Title~BOM_PartType For Project [ELoad Control Assembly Gen 2 Rev 2.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~85|ReportField=ReportTime~4:59:25 PM|ReportField=ReportDate~2/9/2020|ReportField=ReportDateTime~2/9/2020 4:59:25 PM|ReportField=OutputName~BOM_PartType|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~|ReportField=CurrentTime~|ReportField=Date~|ReportField=DocumentFullPathAndName~|ReportField=DocumentName~|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~|ReportField=Organization~|ReportField=ProjectName~|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~ELoad Control Assembly Gen 2 Rev 2.PrjPcb|ReportField=DataSourceFullPath~C:\Users\shawn\OneDrive\Shawn\electronic load\Cicuit Studio\Rev 2\Control Board\ELoad Control Assembly Gen 2 Rev 2.PrjPcb
Capacitor; Ceramic; Cap 0.1 uF; Tol 5%; Vol-Rtg 50 VDC; SMT; 0805; X7R; Tape & Reel|C1, C2, C3, C4, C5, C6||08055C104JAT2A||||6||0.1µF ±5% 50V Ceramic Capacitor X7R 0805 (2012 Metric)|||||||||||||||||||||||||||
Capacitor; Ceramic; Cap 0.1 uF; Tol 5%; Vol-Rtg 50 VDC; SMT; 0805; X7R; Tape & Reel, Capacitor; Ceramic; Cap 0.1 uF; Tol 5%; Vol-Rtg 50 VDC; SMT; 0805; X7R; Tape & Reel, Capacitor; Ceramic; Cap 0.1 uF; Tol 5%; Vol-Rtg 50 VDC; SMT; 0805; X7R; Tape & Reel, Capacitor; Ceramic; Cap 0.1 uF; Tol 5%; Vol-Rtg 50 VDC; SMT; 0805; X7R; Tape & Reel, Capacitor; Ceramic; Cap 0.1 uF; Tol 5%; Vol-Rtg 50 VDC; SMT; 0805; X7R; Tape & Reel, Capacitor; Ceramic; Cap 0.1 uF; Tol 5%; Vol-Rtg 50 VDC; SMT; 0805; X7R; Tape & Reel, Capacitor; Ceramic; Cap 0.1 uF; Tol 5%; Vol-Rtg 50 VDC; SMT; 0805; X7R; Tape & Reel, Capacitor; Ceramic; Cap 0.1 uF; Tol 5%; Vol-Rtg 50 VDC; SMT; 0805; X7R; Tape & Reel, Capacitor; Ceramic; Cap 0.1 uF; Tol 5%; Vol-Rtg 50 VDC; SMT; 0805; X7R; Tape & Reel, Capacitor; Ceramic; Cap 0.1 uF; Tol 5%; Vol-Rtg 50 VDC; SMT; 0805; X7R; Tape & Reel, Capacitor; Ceramic; Cap 0.1 uF; Tol 5%; Vol-Rtg 50 VDC; SMT; 0805; X7R; Tape & Reel, Capacitor; Ceramic; Cap 0.1 uF; Tol 5%; Vol-Rtg 50 VDC; SMT; 0805; X7R; Tape & Reel, Capacitor; Ceramic; Cap 0.1 uF; Tol 5%; Vol-Rtg 50 VDC; SMT; 0805; X7R; Tape & Reel, CL21 Series 10 uF 6.3V ±10 % Tolerance X5R SMT Multilayer Ceramic Capacitor, 0.47µF ±10% 25V Ceramic Capacitor X7R 0805 (2012 Metric), CAP CER 10000PF 25V X7R 0805, Capacitor; Ceramic; Cap 0.1 uF; Tol 5%; Vol-Rtg 50 VDC; SMT; 0805; X7R; Tape & Reel, CL21 Series 10 uF 6.3V ±10 % Tolerance X5R SMT Multilayer Ceramic Capacitor, Capacitor; Ceramic; Cap 0.1 uF; Tol 5%; Vol-Rtg 50 VDC; SMT; 0805; X7R; Tape & Reel, Capacitor; Ceramic; Cap 0.1 uF; Tol 5%; Vol-Rtg 50 VDC; SMT; 0805; X7R; Tape & Reel, Capacitor; Ceramic; Cap 0.1 uF; Tol 5%; Vol-Rtg 50 VDC; SMT; 0805; X7R; Tape & Reel, Capacitor; Ceramic; Cap 0.1 uF; Tol 5%; Vol-Rtg 50 VDC; SMT; 0805; X7R; Tape & Reel, Capacitor; Ceramic; Cap 0.1 uF; Tol 5%; Vol-Rtg 50 VDC; SMT; 0805; X7R; Tape & Reel|C7, C8, C12, C13, C14, C15, C16, C17, C19, C20, C21, C22, C23, C24, C25, C26, C29, C31, C32, C37, C38, C39, C40||08055C104JAT2A|[NoParam], [NoParam], [NoParam], [NoParam], [NoParam], [NoParam], [NoParam], [NoParam], [NoParam], [NoParam], [NoParam], [NoParam], [NoParam], CL21A106KQFNNNG, CGA4J2X7R1E474K125AA, C0805X102J1GACAUTO, [NoParam], CL21A106KQFNNNG, [NoParam], [NoParam], [NoParam], [NoParam], [NoParam]|||23||0.1µF ±5% 50V Ceramic Capacitor X7R 0805 (2012 Metric)|||||||||||||||||||||||||||
Cap,SMD,MLCC,2.2uF 25V X7R 10%,0805|C10, C33, C34, C35, C36|GRM21BR71E225KA73L (t&r, 3Kpcs)|||211-121-19||5|||||||||||||||||||||||||||||
Cap,SMD,MLCC,2.2uF 25V X7R 10%,0805|C18, C28|GRM21BR71E225KA73L (t&r, 3Kpcs)|||211-121-19||2|||||||||||||||||||||||||||||
47uF 35 V dc Aluminium Electrolytic Capacitor, CW Series 7000h 6.3(Dia.)x8.7mm|C27||UCW1V470MCL1GS||||1|||||||||||||||||||||||||||||
CAP CER 10PF 50V C0G/NP0 0805|C30|||CL21C100JBANNNC||0805 (2012 Metric)|1||10pF ±5% 50V Ceramic Capacitor C0G, NP0 0805 (2012 Metric)|||||||||||||||||||||||||||
PH Series 4 Position 2 mm Pitch Through Hole Crimp Top Entry Shrouded Header|J1, J2, J4||B4B-PH-K-S(LF)(SN)||||3|||||||||Farnell||||||||||||||||||||
Header, Friction Lock; MTA-100; 2; 250 VAC; Polyester; Tin; Copper Alloy; Tin|J3||||||1||||Loading...|Loading...||Loading...|Loading...|Newark|Digi-Key|LCSC||Loading...|Loading...|||||A1921-ND|C86502|||||||||
FERRITE BEAD 600 OHM 0805 1LN|L1, L2|||BK2125HM601-T||0805 (2012 Metric)|2||600 Ohms @ 100MHz 1 Ferrite Bead 0805 (2012 Metric) 500mA 250mOhm|||||||||||||||||||||||||||
FIXED IND 4.7UH 4.5A 27.6 MOHM|L3|||1255AY-4R7M=P3||Nonstandard|1||4.7µH Shielded Wirewound Inductor 4A 27.6mOhm Max Nonstandard|||||||||||||||||||||||||||
HEX STANDOFF M3,generic|M1, M2, M3, M4, M5||||||5|||||||||||||||||||||||||||||
|MOD1||||||1|||||||||||||||||||||||||||||
SD Card Connector Breakout|MOD2||||||1|||||||||||||||||||||||||||||
IC REG LIN POS ADJ 500MA 6WSON|Q1|||LP38691SDX-3.3/NOPB||6-WDFN Exposed Pad|1||Linear Voltage Regulator IC 1 Output 500mA 6-WSON (3x3)|||||||||||||||||||||||||||
RES SMD 10K OHM 1% 1/8W 0805|R1, R2, R5, R6, R25, R26||||||6|||||||||||||||||||||||||||||
Res Thick Film 0805 1K Ohm 5% 0.125W(1/8W) ±200ppm/C Molded SMD Automotive Paper T/R|R3, R4, R7, R8, R9, R10||CRCW08051K00JNEA||||6|||||||||||||||||||||||||||||
RES SMD 3.32K OHM 1% 1/8W 0805, RES SMD 3.32K OHM 1% 1/8W 0805, RES SMD 470 OHM 5% 1/8W 0805, RES SMD 3.32K OHM 1% 1/8W 0805, RES SMD 3.32K OHM 1% 1/8W 0805, RES SMD 2.2K OHM 1% 1/8W 0805, RES SMD 2.2K OHM 1% 1/8W 0805|R13, R14, R15, R18, R19, R20, R21|||CRCW08053K32FKEA, CRCW08053K32FKEA, CR0805-JW-471ELF, CRCW08053K32FKEA, CRCW08053K32FKEA, CRCW08052K20FKEA, CRCW08052K20FKEA|||7|||||||||||||||||||||||||||||
RES SMD 33 OHM 5% 1/8W 0805|R16, R17|||CR0805-JW-330ELF||0805 (2012 Metric)|2||33 Ohms ±5% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Moisture Resistant Thick Film|||||||||||||||||||||||||||
22.1 kOhms ±1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Moisture Resistant Thick Film|R22, R24||||||2|||||||||||||||||||||||||||||
100 kOhms ±1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Thick Film|R23||CRCW0805100KFKEA||||1|679-0803||||||||RS||||||||||||||||||||
24 Pulse Incremental Mechanical Rotary Encoder w/ 6 mm Knurl Shaft, Through Hole|SW1, SW2||||||2|||||||||||||||||||||||||||||
Switch Tactile N.O. SPST Button J-Bend 0.05A 16VDC 2.55N SMD Automotive T/R|SW3|||SKRPACE010|||1|||||||||||||||||||||||||||||
DGTL ISO 2.5KV 2CH I2C 8SOIC|U1, U3||||||2|||Texas Instruments|||ISO1540DR|||Digi-Key|||USD|||200|||296-34871-1-ND|||7814|||570.12|||2.8506||
ARM Cortex-M4 Kinetis K20 Microcontroller IC 32-Bit 72MHz 256KB (256K x 8) FLASH 64-LQFP (10x10)|U2|||MK20DX256VLH7|||1|||NXP Freescale|||MK20DX256VLH7|||Digi-Key|||USD|||100|||MK20DX256VLH7-ND|||25837|||648.1|||6.481||
Buck Switching Regulator IC Positive Adjustable 0.76V 1 Output 2A 8-PowerSOIC (0.154", 3.90mm Width)|U4|||TPS54239EDDAR||8-PowerSOIC (0.154", 3.90mm Width)|1|||||||||||||||||||||||||||||
CRYSTAL 16.0000MHZ 7.2PF SMD|XTAL1|||NX3225SA-16.000000MHZ-B3||4-SMD, No Lead|1||16MHz ±10ppm Crystal 7.2pF 80 Ohms 4-SMD, No Lead|NDK|||NX3225SA-16.000000MHZ-B3|||Digi-Key|||USD|||100|||644-1099-1-ND|||10372|||67.09|||0.6709||
