"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"R10","Fuse,PTC,10mmPitch,Radial,_Disc","79.4mm","103.9mm","79.4mm","103.9mm","79.4mm","98.9mm","T","90.00","PTR030V0800-BK"
"R3","Fuse,PTC,10mmPitch,Radial,_Disc","79.4mm","69.15mm","79.4mm","69.15mm","79.4mm","74.15mm","T","270.00","PTR030V0800-BK"
"C3","Cap,0805","8.0844mm","14.43mm","8.0844mm","14.43mm","7.1344mm","14.43mm","T","0.00","Cap"
"C2","Cap,0805","27.5844mm","14.43mm","27.5844mm","14.43mm","26.6344mm","14.43mm","T","360.00","Cap"
"C1","Cap,0805","20.0844mm","14.43mm","20.0844mm","14.43mm","21.0344mm","14.43mm","T","180.00","Cap"
"M2","Standoff,Hex,M3,8mm","91.5mm","62.9mm","91.5mm","62.9mm","91.5mm","62.9mm","T","0.00","M3 hex Standoff"
"D2","SOD123","98.3mm","110.9mm","98.3mm","110.9mm","96.665mm","110.9mm","B","360.00","MMSZ4705T1G"
"DB1","4-ESIP_WITH_HEAT_SINK","115.6788mm","89.091mm","112.3mm","66.091mm","119.5656mm","77.0718mm","T","90.00","Vishay PB3510-E3/45"
"F1","Fuse,TH,Vertical,0505030.MXEP","114.4mm","50.7mm","109.4mm","50.7mm","109.4mm","50.7mm","T","360.00","FUSE CERAMIC 30A 500VAC/VDC 3AB"
"F2","Fuse,TH,Vertical,0505030.MXEP","114.3mm","130.9mm","109.3mm","130.9mm","109.3mm","130.9mm","T","360.00","FUSE CERAMIC 30A 500VAC/VDC 3AB"
"J1","Connector,TE,3-Pin,Male,Vert,2-644861-3","8.3mm","6.4mm","8.3mm","6.4mm","5.76mm","6.4mm","T","360.00","2-644861-3"
"J2","Keystone_8197","94.0896mm","131.6mm","94.0896mm","131.6mm","97.5948mm","136.6mm","T","270.00","wire teminal, lugs, screw, Keystone 8197"
"J3","Keystone_8197","9.2104mm","131.85mm","9.2104mm","131.85mm","5.7052mm","126.85mm","T","90.00","wire teminal, lugs, screw, Keystone 8197"
"J4","Keystone_8197","9.5896mm","36.5mm","9.5896mm","36.5mm","13.0948mm","41.5mm","T","270.00","wire teminal, lugs, screw, Keystone 8197"
"J5","Keystone_8197","94.0896mm","36.5mm","94.0896mm","36.5mm","97.5948mm","41.5mm","T","270.00","wire teminal, lugs, screw, Keystone 8197"
"J6","conn,_molex,_0.1",_4_pin","20.31mm","5.946mm","16.5mm","5.946mm","16.5mm","5.946mm","T","90.00","0022112042"
"J7","Conn,_JST,_4_pin,_2mm_spacing_Right_Angle","31.5mm","7.094mm","31.5mm","7.094mm","34.5mm","7.094mm","T","180.00","JST B4B-PH-K-S(LF)(SN)"
"MOD1","MOD,ELOAD_GEN_2_REV_1_SUPPORT","89.4mm","4.1mm","89.4mm","4.1mm","124.96mm","4.1mm","T","180.00","Support PCBA"
"NTC1","NTC,TH,2.54mm_Lead_Spacing,NTCLE100E3103JT2","27.075mm","84.155mm","27.075mm","85.425mm","27.075mm","85.425mm","T","270.00","NTCLE100E3103JT2"
